placed_at_utc,bet_type,strategy_name,strategy_tier,player_name,dg_id,market_book_best,market_odds_best_dec,stake_units,p_model,edge_prob,ev_per_unit,kelly_full,kelly_frac,result_win_flag,return_units
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Chacarra, Eugenio",26745,skybet,3.1,18.7,0.4236569827820294,0.101076337620739,0.3133366466242911,0.14920792696394822,0.037301981740987054,,
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Hojgaard, Rasmus",23838,skybet,3.1,17.9,0.4194444077684405,0.0968637626071501,0.3002776640821656,0.14298936384865027,0.03574734096216257,,
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Lindell, Oliver",20085,skybet,3.75,17.0,0.3665106198495499,0.0998439531828832,0.3744148244358122,0.13615084524938623,0.03403771131234656,,
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Hill, Calum",25131,skybet,5.5,12.1,0.2610109300183887,0.0791927482002068,0.4355601151011379,0.09679113668914176,0.02419778417228544,,
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Surratt, Caleb",30463,skybet,5.0,8.9,0.2566931255250202,0.0566931255250202,0.2834656276251011,0.07086640690627527,0.017716601726568817,,
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Armitage, Marcus",17813,skybet,6.0,6.1,0.207560851613021,0.0408941849463543,0.2453651096781259,0.04907302193562524,0.01226825548390631,,
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Ding, Wenyi",26193,skybet,8.0,4.8,0.1588631508587862,0.0338631508587861,0.2709052068702896,0.038700743838612786,0.009675185959653197,,
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Langasque, Romain",16652,bet365,8.0,4.0,0.1530752410507466,0.0280752410507466,0.2246019284059728,0.03208598977228183,0.008021497443070458,,
2026-08-11 21:46:10,Top 10,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,"Dean, Joe",16497,skybet,8.5,3.3,0.1412461219038379,0.0235990630803084,0.2005920361826221,0.026745604824349616,0.006686401206087404,,
2026-08-11 21:46:10,Top 20,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,"Ayora, Angel",30445,skybet,2.3,25.0,0.5477422811196563,0.112959672424004,0.2598072465752093,0.1998517281347764,0.0499629320336941,,
2026-08-11 21:46:10,Top 20,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,"Halvorsen, Andreas",17747,unibet,5.0,7.5,0.2509982213069899,0.0509982213069898,0.2549911065349495,0.0602452612568095,0.015061315314202375,,
2026-08-11 21:46:10,Top 20,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,"LaCroix, Frederic",23733,skybet,5.0,7.5,0.2519992832740606,0.0519992832740606,0.2599964163703031,0.059813615484045575,0.014953403871011394,,
