player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,p_make_cut_anchored,make_cut_fair_odds_dec_model,make_cut_fair_odds_dec_anchored,make_cut_strategy_prob,make_cut_strategy_fair_odds_dec,make_cut_strategy_name,make_cut_strategy_tier,p_miss_cut_model,p_miss_cut_anchored,miss_cut_fair_odds_dec_model,miss_cut_fair_odds_dec_anchored,p_miss_cut_dg,miss_cut_strategy_prob,miss_cut_strategy_fair_odds_dec,miss_cut_arg_overlay_prob,miss_cut_arg_overlay_fair_odds_dec,miss_cut_strategy_name,miss_cut_strategy_tier,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top10_strategy_prob,top10_strategy_fair_odds_dec,top10_strategy_name,top10_strategy_tier,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,top20_strategy_prob,top20_strategy_fair_odds_dec,top20_strategy_name,top20_strategy_tier,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,p_model,strategy_name,strategy_tier,strategy_min_ev,strategy_odds_cap,edge_prob,ev_per_unit,arg_overlay_ev_per_unit,arg_overlay_qualified,value_flag,strategy_qualified,bet_flag
"Niemann, Joaquin",18079,0.4696499999999999,0.5088604425787979,0.8403361344537815,0.7748,0.8075680672268908,1.2906556530717603,1.2382857130964842,0.843113751044711,1.1860795755743394,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.2251999999999999,0.1924319327731092,4.4404973357016,5.196642706795812,0.1596638655462184,0.1596638655462184,6.2631578947368425,0.1505518104908752,6.642231645966215,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0700076164926168,14.284160068575716,0.0905871415796419,11.039094319151523,0.2285466432415898,4.375474458152203,0.2655500324793809,3.765768697759985,0.3447064734354371,2.90101891627892,0.3892921218603535,2.568765058026833,0.4471307277314624,2.2364823931326403,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.4933013915107297,2.027158279317866,0.5433364045257614,1.8404803942280048,0.4935475894115636,2.0261470655590856,0.5436075740066162,1.839562301587485,0.6731015714862038,1.4856598801158742,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.593,0.596,-0.013,-0.042,1.135,-0.011,12.043,0.1482451080988662,-0.06,0.136929658844557,2.81339828386255,,,,0.1596638655462184,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Chacarra, Eugenio",26745,0.32795,0.3450630986475992,0.7874015748031495,0.72285,0.7551257874015748,1.383412879573909,1.32428267804368,0.8047150043529999,1.2426759717299063,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.27715,0.2448742125984252,3.6081544290095615,4.083729313057241,0.2125984251968504,0.2125984251968504,4.703703703703702,0.2062895785667322,4.847554621749891,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0357240705000094,27.99233082914599,0.0431037019166713,23.19986348117413,0.1455155575309561,6.872117435190845,0.164431039648114,6.081576824789416,0.2425195759719798,4.123378477766832,0.2714214768989289,3.6843068257725857,0.349304468575508,2.8628319702810594,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3966575359734049,2.5210664346663214,0.4290777159137754,2.330580132483397,0.3961129613150058,2.5245323876306025,0.428488631302041,2.333784205572309,0.5224173524886501,1.914178377184984,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.415,0.364,-0.054,0.141,0.866,-0.001,7.507,0.0932779509134193,-0.115533129272671,0.0678098000994543,2.72635470167468,,,,0.2125984251968504,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Reed, Patrick",14838,0.31925,0.3364751622550189,0.78125,0.7278,0.754525,1.3740038472107725,1.3253371326331136,0.7962861108643186,1.2558300168196614,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.2722,0.245475,3.673769287288758,4.073734596191058,0.21875,0.21875,4.571428571428571,0.1784951265345779,5.602393854749199,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0317242725076988,31.52160541293172,0.0360621362538494,27.729915747663348,0.1361975091550763,7.342278182645663,0.1476305571268406,6.7736654217244725,0.2331392747409395,4.289281594065106,0.2516494957759533,3.973781059709782,0.3092599512017812,3.233525699380116,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3880662755531009,2.5768794223995,0.4110746633343259,2.432648103117712,0.3868464347265337,2.585005082719482,0.4097824983390867,2.440318959577723,0.4625253100818753,2.162043845390821,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.554,-0.075,0.227,0.106,0.812,0.004,-4.165,-0.0356315786507268,0.0233978361841368,0.0980921415544237,2.65641553104765,,,,0.21875,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Ayora, Angel",30445,0.22545,0.2378863940499002,0.7518796992481203,0.68675,0.7193148496240601,1.456133964324718,1.390211811312718,0.7547082802919831,1.3250152755884934,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.31325,0.2806851503759399,3.192338387869114,3.5627107407022955,0.2481203007518797,0.2481203007518797,4.030303030303029,0.2355120542096357,4.246067163551095,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0272344645883315,36.71818099293368,0.0334005656274991,29.93961273448277,0.1176479081585114,8.499938635990555,0.1353873800051817,7.386212806258062,0.2031367457307826,4.9227922619440845,0.2287609360892043,4.371375712547593,0.2619499432483682,3.817523255013071,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3478212968513359,2.8750395937584443,0.3763792815055509,2.656894385896881,0.3465010363689553,2.8859942540985566,0.3749506205918664,2.66701785536848,0.4674881183943313,2.139091798599444,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.225,0.434,-0.014,-0.054,0.592,-0.027,11.573,0.1242580135821224,-0.0144919507559244,0.003675951147421,2.80042022576512,,,,0.2481203007518797,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Lindell, Oliver",20085,0.2543500000000001,0.2490234708170221,0.7246376811594204,0.69855,0.7115938405797102,1.431536754706177,1.4052960312097915,0.7501870709175972,1.3330008457448383,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.30145,0.2884061594202898,3.317299718029524,3.467332327471951,0.2753623188405796,0.2753623188405796,3.631578947368423,0.250743289257244,3.9881426257197816,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0264627450682518,37.78897455350278,0.0268647058674592,37.22356034470051,0.1155230564030049,8.65628066930186,0.1169326161644654,8.551933864145331,0.2064032386367036,4.844885218880354,0.2081514275656598,4.804194771542258,0.2587536894299255,3.864679194345616,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3467708932036342,2.883748375653808,0.3517161833534911,2.843201556622584,0.3464605271874986,2.8863316930151086,0.3514013912161541,2.8457485513621084,0.3684696163714286,2.713927975521242,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.538,-0.269,0.062,0.195,0.527,-0.01,-3.65,-0.0481197784272937,-0.0487743247251592,0.0096208244800469,2.72227429162037,,,,0.2753623188405796,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Neergaard-Petersen, Rasmus",23841,0.2212,0.2047598700926247,0.6711409395973155,0.67475,0.6729454697986577,1.4820303816228233,1.486004505386143,0.6790066975468594,1.472739523207705,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.32525,0.3270545302013423,3.074558032282859,3.0575940941236217,0.3288590604026845,0.3288590604026845,3.0408163265306127,0.3263782178400992,3.0639299602093075,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.027353368747118,36.558568315478816,0.0228600177068923,43.74449804990727,0.1088803147554861,9.184396667530876,0.097650415314251,10.240611847700569,0.1912037343470674,5.23002337488257,0.1764544100242017,5.667186214630989,0.1728179952765668,5.786434441619717,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3219564600391919,3.106010048309854,0.3048691815796099,3.280095399668568,0.3211690543849591,3.1136250094673867,0.3041235661092824,3.288137163433972,0.3478456139437316,2.874838606307,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.162,0.568,-0.089,-0.01,0.631,0.043,4.437,0.0530097761560763,0.17735313324629,-0.153043820926487,2.79316689937429,,,,0.3288590604026845,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Jarvis, Casey",26947,0.2155,0.1950087801426918,0.6711409395973155,0.6705,0.6708204697986577,1.4914243102162563,1.4907118148916108,0.6816591996525588,1.467008734730932,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3295,0.3291795302013423,3.0349013657056143,3.037855966889409,0.3288590604026845,0.3288590604026845,3.0408163265306127,0.3240220499627051,3.086209719724629,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0256339462065273,39.01077079366596,0.021875306436597,45.71364533330684,0.1048861291795495,9.53414915606379,0.094858435862021,10.54202497556019,0.1866844894174033,5.356631411215552,0.1725090123854691,5.796798591400621,0.1727190851470081,5.789748128580347,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3199652718982628,3.125339178427974,0.3017421621174074,3.314087739620894,0.3180532768540428,3.1441273295194128,0.299939061689733,3.334010563233786,0.3227922186983486,3.097968110980105,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.293,0.241,-0.075,0.016,0.475,0.034,-1.933,-0.0261605763879459,0.0082793605429205,-0.0914456512282977,2.78729937633508,,,,0.3288590604026845,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Du Plessis, Hennie",19421,0.21085,0.1776602251000242,0.5882352941176471,0.6623,0.6252676470588235,1.5098897780462026,1.5993151168205617,0.5597329900529194,1.7865661266552395,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3377,0.3747323529411764,2.9612081729345574,2.6685712940216155,0.4117647058823529,0.4117647058823529,2.428571428571429,0.3948452407723853,2.532637845764147,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0242188364195696,41.29017524524691,0.0171677515431181,58.248746056722666,0.0999376317951078,10.006240712709708,0.0761443251568131,13.132955055292433,0.1799172603522151,5.558110422770718,0.1420732810113835,7.038621145941405,0.0849458170609679,11.772210034571474,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3057232219793397,3.270932425498179,0.2535107510856849,3.944605882462188,0.3049547816774428,3.27917468452002,0.2528735476804703,3.9545456975341473,0.2333584957647157,4.285252168441524,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.321,0.276,-0.012,-0.335,0.25,-0.006,7.968,0.0784580336962281,0.0325318742283755,-0.213310859905087,2.80695337319535,,,,0.4117647058823529,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Ancer, Abraham",18238,0.20185,0.1754528302360252,0.6622516556291391,0.67085,0.6665508278145695,1.4906461951255872,1.5002606827129978,0.6865977948181031,1.4564567604894871,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.32915,0.3334491721854304,3.0381285128360926,2.9989578125085337,0.3377483443708609,0.3377483443708609,2.960784313725491,0.3323347160506729,3.0090145618356776,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0189820249194124,52.68141856548312,0.0171326791263728,58.36798743639968,0.0936504009476562,10.678010877486011,0.0854470490188016,11.703154309986306,0.1701496273281099,5.8771800779301095,0.1587754792947204,6.298201740230877,0.1787043486430862,5.595834726983788,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3026364723415364,3.3042943973767414,0.2881575278744347,3.470324052876218,0.3027297435135706,3.3032763427660106,0.2882463367022252,3.469254844452912,0.2999433815023175,3.3339625465023754,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.336,0.037,-0.072,0.15,0.451,0.081,-12.447,-0.1019484420879822,-0.06,-0.0660116277758827,2.66139260833602,,,,0.3377483443708609,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Hillier, Daniel",21362,0.17355,0.1731557473079048,0.7246376811594204,0.6604,0.6925188405797102,1.5142337976983646,1.4440040348402594,0.7353113427646079,1.3599681411689113,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3396,0.3074811594202897,2.944640753828033,3.252231785145314,0.2753623188405796,0.2753623188405796,3.631578947368423,0.3151011693846766,3.1735839062507463,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0225189270442054,44.40708911383592,0.0262261301887693,38.129910619761326,0.0947244341906387,10.556938223430697,0.1100743470255743,9.084768858702953,0.1727257114816736,5.789526014522168,0.1953030734860543,5.120247122334227,0.2384916317397787,4.193019238054913,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.3010149876560291,3.322093719608086,0.3308011863276445,3.022963765944728,0.3026496819488732,3.3041501764040526,0.3325976377786726,3.006635906011608,0.4239001316484748,2.359046212397179,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.149,0.496,-0.353,0.029,0.321,0.024,7.888,0.1071711052645731,0.113680804146403,-0.0839770171293632,2.76883026448553,,,,0.2753623188405796,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
