player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,p_make_cut_anchored,make_cut_fair_odds_dec_model,make_cut_fair_odds_dec_anchored,p_miss_cut_model,p_miss_cut_anchored,miss_cut_fair_odds_dec_model,miss_cut_fair_odds_dec_anchored,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,ev_per_unit,value_flag,bet_flag
"Forrest, Grant",16475,-0.1853,-0.1967224425246774,0.684931506849315,0.87415,0.7795407534246575,1.1439684264714294,1.2828065699026343,0.12585,0.2204592465753425,7.94596742153357,4.535985745820134,0.0115791351299362,86.36223593372179,0.0117979008983014,84.7608408156716,0.0643434498281163,15.541597515696568,0.0648540033532116,15.41924859370272,0.1300745752442275,7.6878974859030205,0.1309689215899977,7.635399206618886,0.267797558324075,3.734163994093817,0.261049121192692,3.830696672837506,0.2674809612852828,3.738583842359704,0.2607405023267616,3.835230779554125,-0.281,-0.109,-0.128,0.093,-0.426,-0.07,6.908,-0.120774757819519,-0.095195125825996,0.0270739477428713,2.99329371974866,101.0,bet365,0.009900990099009901,0.2508395122277517,25.334790735002922,True,True
"Robinson Thompson, Brandon",24497,-0.2158,-0.2041956819833655,0.6993006993006994,0.88055,0.7899253496503498,1.1356538527056952,1.2659424089157754,0.1194499999999999,0.2100746503496502,8.371703641691088,4.760212611733927,0.0103172292953785,96.92524721224716,0.0110252813143559,90.70063352468937,0.0567279640947513,17.627990285879527,0.0605889327448263,16.504664378419648,0.1191195156961305,8.394930034394728,0.1249165177085752,8.005346437313888,0.2583973244376172,3.870009111651704,0.2584132602827816,3.869770455686756,0.2579677851579438,3.876453020627123,0.2579836945126193,3.876213967278792,-0.303,-0.173,-0.035,-0.024,-0.535,0.001,-1.43,0.0004697570624911,0.0311171539170669,0.05000742307266,2.96403652005724,101.0,bet365,0.009900990099009901,0.2480827044136094,25.05635314577455,True,True
"Soderberg, Sebastian",18517,-0.2654499999999999,-0.3032859539571017,0.5434782608695652,0.85295,0.6982141304347826,1.172401664810364,1.432225382458664,0.14705,0.3017858695652173,6.800408024481468,3.3136077624863587,0.0086051209844685,116.2098710529353,0.0060525604922342,165.21933176596025,0.0506475175972908,19.74430431025688,0.0377740762589628,26.47318211422112,0.1067138259331651,9.370856974299656,0.0813840717568663,12.287416670272828,0.22723941683489,4.400644984609297,0.1769253537674655,5.652101175472615,0.2266888411665467,4.411333151001053,0.1764966834414535,5.665828844493356,-0.206,-0.429,-0.197,-0.252,-1.084,-0.031,-1.85,-0.0686656615340744,0.0807465247561414,-0.175033570207507,3.08123158200549,101.0,bet365,0.009900990099009901,0.1665956933424436,16.826165027586804,True,True
"Cantero Gutierrez, Ivan",19635,-0.5054500000000001,-0.5113280279520517,0.5376344086021505,0.79805,0.6678422043010752,1.253054319904768,1.4973596959876798,0.2019499999999999,0.3321577956989248,4.951720722951227,3.0106172817525025,0.0043033439467827,232.37742842925792,0.004243338640058,235.6634916100686,0.0268339621075072,37.26620750203085,0.0264290286126761,37.83718329777616,0.0643049715537519,15.550897167633607,0.0612760725373376,16.31958378844637,0.1505878264745865,6.640643028131905,0.1396982621985172,7.158285180233357,0.1517371880464689,6.590342241572012,0.1407645091720522,7.104063416849841,-0.837,0.01,-0.143,-0.333,-1.302,-0.095,10.788,-0.1420111666301797,-0.06,0.0566154435548316,3.13846574539877,101.0,bet365,0.009900990099009901,0.13086351907304228,13.21721542637727,True,True
"Norgaard, Niklas",15676,-0.3005,-0.3109237143814474,0.6451612903225806,0.85335,0.7492556451612904,1.1718521122634322,1.3346579454663068,0.1466499999999999,0.2507443548387096,6.81895669962496,3.988125677418526,0.0074803839788341,133.68297708105874,0.0086318586560837,115.8499043882285,0.0434843199407878,22.996795197940067,0.0478117565312404,20.915357906723088,0.0972814936000033,10.279447436444022,0.1020715100876401,9.797053057619944,0.2208995749179899,4.52694397610885,0.2167176382887209,4.614299084727729,0.2208623633594542,4.527706689312641,0.2166811311968178,4.61507651578425,-0.601,0.219,-0.336,0.089,-0.629,-0.062,14.544,-0.0653470971525487,0.0326195627344627,-0.0275999140145785,3.05759271904938,41.0,bet365,0.024390243902439025,0.1922908872943788,7.88392637906953,True,True
"Vaillant, Tom",28157,-0.30755,-0.3182098370443387,0.6578947368421053,0.8578,0.7578473684210527,1.165772907437631,1.319526914876624,0.1422,0.2421526315789472,7.032348804500703,4.129626812145451,0.0063708622459295,156.9646244727566,0.0069020977896314,144.88348766982594,0.0414236889102903,24.14077611884496,0.0443441658837166,22.5508808221197,0.0933061510567304,10.717407037741776,0.0967377379261527,10.337227450608534,0.2105831742406337,4.748717477576335,0.2106565816165613,4.747062694771186,0.2109898230652155,4.739565091207773,0.2110633721952184,4.737913497729354,-0.412,-0.365,-0.034,0.137,-0.673,-0.028,-3.318,-0.0727911443848624,-0.0115567725661018,-0.0140144198877371,2.95726763534976,21.0,bet365,0.047619047619047616,0.16344432457617078,3.432330816099586,True,True
"Garcia Rodriguez, Sebastian",12258,-0.3525,-0.3447877411238564,0.5649717514124294,0.8392,0.7020858757062147,1.1916110581506196,1.4243271864629368,0.1608,0.2979141242937853,6.218905472636814,3.35667200194194,0.0079898507537754,125.15878341375428,0.006053258710221,165.20027440946575,0.0455522121514771,21.95283066988377,0.0363838871603946,27.48469385889422,0.0959381224647623,10.423385139388108,0.0788790758473957,12.677633317290134,0.208644087934286,4.792850877782635,0.1750140874560615,5.713825752747229,0.2081056272661608,4.805252088262996,0.1745624178046664,5.728609929767297,-0.419,-0.359,-0.063,-0.26,-1.1,-0.015,-9.511,-0.0875513675467571,-0.0150629128728586,0.0861027063723113,3.08757860113571,23.0,bet365,0.043478260869565216,0.13108415693510117,3.0149356095073268,True,True
"Kinhult, Marcus",18514,-0.481,-0.5227116465407247,0.5263157894736842,0.8022,0.664257894736842,1.2465719272001994,1.5054393902178134,0.1977999999999999,0.3357421052631579,5.055611729019212,2.978476587606401,0.0039664584288805,252.1140755488113,0.0033832292144402,295.57559852339097,0.0289813356996394,34.50496589818811,0.0243965574000842,40.98938975695587,0.0638001709080488,15.673939203724649,0.0549742548263187,18.19033296875636,0.1495771372116711,6.685513699763283,0.1294844813736236,7.722933199342475,0.1502421854197192,6.65592022111754,0.1300601938381942,7.68874757517341,-0.717,-0.299,-0.127,0.008,-1.134,-0.012,-5.563,-0.0504336970520464,0.0912211253953755,-0.206146665526444,3.09392386360212,26.0,bet365,0.038461538461538464,0.09159865537665574,2.381565039793049,True,True
"Gumberg, Jordan",23892,-0.20135,-0.1566047968188831,0.5882352941176471,0.88365,0.7359426470588235,1.131669778758558,1.358801537044327,0.1163499999999999,0.2640573529411765,8.594757198109157,3.787056065137364,0.0123211593363708,81.16119373995076,0.0088355796681854,113.17876557672076,0.0692446552346264,14.441547822162317,0.0509054592310698,19.64425849614291,0.139446293338898,7.1712196578053735,0.1057794095732119,9.453635674794358,0.2821989484915971,3.5435993129853087,0.2215632597542715,4.513383677009748,0.2827653935298962,3.536500657016474,0.2220079935487383,4.504342316757463,-0.382,0.329,-0.342,-0.393,-0.788,0.07,-3.474,0.1412663889620829,-0.0426066394104154,0.163744481277147,3.03816466989034,11.0,bet365,0.09090909090909091,0.13109890263964738,1.442087929036121,True,True
"De Leo, Gregorio",26506,-0.2684,-0.2705324658139632,0.5952380952380952,0.86035,0.7277940476190476,1.162317661416865,1.3740150847227517,0.13965,0.2722059523809523,7.160759040458286,3.673688952255164,0.00839957149427,119.05369228444285,0.006774785747135,147.60614391722876,0.0488231931342229,20.48206878339229,0.0411614444507093,24.294579875531223,0.1078572887264104,9.271510639736077,0.0912162211151569,10.962962374176175,0.2345058841990604,4.264285322372335,0.1988005595168352,5.030166929260156,0.234628921160601,4.262049175581003,0.1989048631545842,5.027529162134276,-0.344,-0.148,-0.295,-0.127,-0.913,-0.001,-1.312,-0.0138466714283745,-0.06,0.0112610066443717,3.01625513390043,12.0,bet365,0.08333333333333333,0.11557152982125087,1.3868583578550104,True,True
