player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"Smith, Jordan",18586,0.33045,0.3314313203748932,0.6993006993006994,0.6919,0.28655,3.489792357354737,0.28655,3.489792357354737,0.2860225813075813,3.496227449694351,0.2860225813075813,3.496227449694351,0.381,0.526,-0.066,-0.04,-0.118248126218365,-0.0443052044453729,0.0751069660949917,2.8226903721825,1.4452955629426218,1.5,skybet,0.6666666666666666,0.02523333333333333,True,True
"Smotherman, Austin",22985,0.27025,0.2462163986010682,0.5847953216374269,0.65585,0.25275,3.9564787339268057,0.25275,3.9564787339268057,0.2521205533355533,3.966356517824534,0.2521205533355533,3.966356517824534,0.409,0.372,-0.17,-0.307,-0.1444660073136162,-0.0114943888491058,-0.0450614061255742,2.85214431769248,1.52473888846535,1.57,bet365,0.6369426751592356,0.018907324840764406,True,True
"Hoey, Rico",23504,0.3505500000000001,0.3385315536706428,0.6622516556291391,0.68385,0.29165,3.4287673581347504,0.29165,3.4287673581347504,0.2915655114330114,3.429760931205866,0.2915655114330114,3.429760931205866,0.438,0.643,-0.147,-0.364,-0.175969626385904,0.029313370877182,0.02056423882687,2.87873272699091,1.4623089858887184,1.5,williamhill,0.6666666666666666,0.017183333333333328,True,True
"Zalatoris, Will",19428,0.32365,0.3259720401547881,0.6578947368421053,0.6805,0.28395,3.521746786406058,0.28395,3.521746786406058,0.2837288654401155,3.5244915897041937,0.2837288654401155,3.5244915897041937,0.504,0.249,0.03,-0.188,-0.0539143501754782,-0.0443052044453729,0.0496436769730226,2.86864360308893,1.4695077149155034,1.5,bet365,0.6666666666666666,0.013833333333333364,True,True
"McGreevy, Max",23505,0.2989,0.2911079732070422,0.684931506849315,0.67535,0.26645,3.7530493525989854,0.26645,3.7530493525989854,0.2658786555111555,3.761114249947916,0.2658786555111555,3.761114249947916,0.369,0.441,-0.012,-0.131,-0.1051944473174152,-0.0270666553772144,0.0204037535382223,2.78376365739515,1.4807137040053306,1.5,skybet,0.6666666666666666,0.008683333333333376,True,False
"Thompson, Davis",27364,0.2623,0.2475189937883518,0.6666666666666666,0.65645,0.25375,3.9408866995073897,0.25375,3.9408866995073897,0.2528610585248085,3.954741017988298,0.2528610585248085,3.954741017988298,0.317,0.391,0.07,-0.168,-0.0942327574778759,-0.01844073525834,-0.0221784685047179,2.82432218459305,1.5233452662045852,1.53,bet365,0.6535947712418301,0.002855228758169903,True,False
"Spaun, J.J.",17536,0.44155,0.3897489036249521,0.6993006993006994,0.707,0.31115,3.213883978788366,0.31115,3.213883978788366,0.3110616411366411,3.2147969011734445,0.3110616411366411,3.2147969011734445,0.645,0.38,0.057,-0.139,-0.0868203959072653,0.178461145606424,-0.260210570323213,2.79909646732134,1.4144271570014144,1.4,bet365,0.7142857142857143,-0.00728571428571434,False,False
"Wallace, Matt",20706,0.14365,0.1596091173639371,0.6369426751592356,0.6273,0.20995,4.763038818766373,0.20995,4.763038818766373,0.2101870285270285,4.757667525954901,0.2101870285270285,4.757667525954901,0.22,0.029,0.177,-0.023,0.0125901647879953,0.105934906643995,0.0470167777646892,2.80711297649934,1.5941335883947076,1.57,bet365,0.6369426751592356,-0.00964267515923567,False,False
"Smalley, Alex",18474,0.2350999999999999,0.2458941514356866,0.6802721088435374,0.6564,0.2438,4.101722723543888,0.2438,4.101722723543888,0.2437836093073593,4.10199850121676,0.2437836093073593,4.10199850121676,0.302,0.218,0.071,0.074,-0.0278846757361623,-0.0579487755055576,0.0824002889229037,2.83444980294935,1.5234613040828764,1.5,skybet,0.6666666666666666,-0.010266666666666646,False,False
"Kirk, Chris",12423,0.1308,0.1426286203484327,0.5813953488372093,0.62305,0.20605,4.85319097306479,0.20605,4.85319097306479,0.205822062104562,4.858565645367883,0.205822062104562,4.858565645367883,0.246,0.046,0.023,-0.183,-0.0304033201447411,0.309961991058992,-0.0031457359502135,2.7834251426491,1.605007623786213,1.57,bet365,0.6369426751592356,-0.013892675159235646,False,False
