group_id,player_name,dg_id,odds,book,p_model,p_push,opponents,market_odds_best_dec,market_book_best,edge_prob,ev_per_unit,value_flag,bet_flag
0,"Bhatia, Akshay",26096,2.0,bet365,0.4769,0.035,"Coody, Pierceson",2.0,bet365,-0.02310000000000001,-0.011199999999999988,False,False
0,"Coody, Pierceson",28309,1.83,bet365,0.5231,0.035,"Bhatia, Akshay",1.83,bet365,-0.02334808743169392,-0.007726999999999928,False,False
2,"Taylor, Nick",13126,2.1,bet365,0.4982,0.0392,"Lee, Min Woo",2.1,bet365,0.022009523809523812,0.08542000000000005,True,False
2,"Lee, Min Woo",16841,1.75,bet365,0.5018,0.0392,"Taylor, Nick",1.75,bet365,-0.06962857142857137,-0.08264999999999995,False,False
4,"Rose, Justin",6093,2.0,bet365,0.4962,0.0412,"Fleetwood, Tommy",2.0,bet365,-0.0038000000000000256,0.03359999999999996,False,False
4,"Fleetwood, Tommy",12294,1.83,bet365,0.5038,0.0412,"Rose, Justin",1.83,bet365,-0.042648087431693904,-0.03684599999999988,False,False
6,"Kim, Si Woo",14609,1.8,bet365,0.5748,0.0404,"Hovland, Viktor",1.8,bet365,0.019244444444444397,0.07504,True,False
6,"Hovland, Viktor",18841,2.05,bet365,0.4252,0.0404,"Kim, Si Woo",2.05,bet365,-0.06260487804878051,-0.08794000000000002,False,False
8,"MacIntyre, Robert",23323,2.0,bet365,0.4785,0.0362,"Young, Cameron",2.0,bet365,-0.02150000000000002,-0.006800000000000084,False,False
8,"Young, Cameron",26651,1.83,bet365,0.5215,0.0362,"MacIntyre, Robert",1.83,bet365,-0.024948087431693966,-0.009455000000000047,False,False
10,"Spaun, J.J.",17536,2.15,bet365,0.5196,0.044,"McNealy, Maverick",2.15,bet365,0.054483720930232515,0.16113999999999978,True,True
10,"McNealy, Maverick",18634,1.72,bet365,0.4804,0.044,"Spaun, J.J.",1.72,bet365,-0.10099534883720934,-0.1297120000000001,False,False
12,"Straka, Sepp",17511,1.83,bet365,0.5427,0.0366,"Burns, Sam",1.83,bet365,-0.0037480874316939694,0.029740999999999962,False,False
12,"Burns, Sam",19483,2.0,bet365,0.4573,0.0366,"Straka, Sepp",2.0,bet365,-0.042700000000000016,-0.04880000000000001,False,False
