group_id,player_name,dg_id,odds,book,p_model,p_push,opponents,market_odds_best_dec,market_book_best,edge_prob,ev_per_unit,value_flag,bet_flag
0,"Fitzpatrick, Matt",17646,1.8,bet365,0.5538,0.0508,"Burns, Sam",1.8,bet365,-0.0017555555555556213,0.04763999999999996,True,True
0,"Burns, Sam",19483,2.05,bet365,0.4462,0.0508,"Fitzpatrick, Matt",2.05,bet365,-0.04160487804878055,-0.03449000000000019,False,False
2,"Fleetwood, Tommy",12294,1.9,bet365,0.4476,0.0436,"Schauffele, Xander",1.9,bet365,-0.07871578947368418,-0.10596000000000005,False,False
2,"Schauffele, Xander",19895,1.9,bet365,0.5524,0.0436,"Fleetwood, Tommy",1.9,bet365,0.02608421052631582,0.09315999999999991,True,True
3,"Fleetwood, Tommy",12294,1.9,betmgm,0.4509,0.0502,"Schauffele, Xander",1.9,betmgm,-0.07541578947368416,-0.0930899999999999,False,False
3,"Schauffele, Xander",19895,1.9,betmgm,0.5491,0.0502,"Fleetwood, Tommy",1.9,betmgm,0.02278421052631585,0.09349000000000002,True,True
4,"Bradley, Keegan",13872,1.83,bet365,0.4756,0.0364,"Gotterup, Chris",1.83,bet365,-0.0708480874316939,-0.09325199999999995,False,False
4,"Gotterup, Chris",27774,2.0,bet365,0.5244,0.0364,"Bradley, Keegan",2.0,bet365,0.024399999999999977,0.08519999999999994,True,True
5,"Spaun, J.J.",17536,1.9,bet365,0.6246,0.0528,"Griffin, Ben",1.9,bet365,0.09828421052631586,0.23954000000000003,True,True
5,"Griffin, Ben",24968,1.9,bet365,0.3754,0.0528,"Spaun, J.J.",1.9,bet365,-0.15091578947368417,-0.2339400000000001,False,False
6,"Henley, Russell",14578,2.0,bet365,0.4199,0.0482,"Kim, Si Woo",2.0,bet365,-0.0801,-0.11200000000000004,False,False
6,"Kim, Si Woo",14609,1.83,bet365,0.5801,0.0482,"Henley, Russell",1.83,bet365,0.03365191256830602,0.10978299999999996,True,True
8,"Kitayama, Kurt",21891,1.95,bet365,0.6582,0.0444,"MacIntyre, Robert",1.95,bet365,0.14537948717948712,0.32789,True,True
8,"MacIntyre, Robert",23323,2.0,bet365,0.3418,0.0444,"Kitayama, Kurt",2.0,bet365,-0.1582,-0.272,False,False
9,"Cantlay, Patrick",15466,1.8,bet365,0.6307,0.051,"McNealy, Maverick",1.8,bet365,0.07514444444444446,0.18626000000000004,True,True
9,"McNealy, Maverick",18634,2.15,bet365,0.3693,0.051,"Cantlay, Patrick",2.15,bet365,-0.09581627906976742,-0.155005,False,False
10,"Thomas, Justin",14139,1.8,bet365,0.4601,0.0446,"Morikawa, Collin",1.8,bet365,-0.09545555555555557,-0.12722000000000006,False,False
10,"Morikawa, Collin",22085,2.05,bet365,0.5399,0.0446,"Thomas, Justin",2.05,bet365,0.052095121951219514,0.15139499999999995,True,True
12,"Scott, Adam",6430,2.1,bet365,0.6005,0.0478,"Harman, Brian",2.1,bet365,0.12430952380952387,0.3088500000000001,True,True
12,"Harman, Brian",8825,1.75,bet365,0.3995,0.0478,"Scott, Adam",1.75,bet365,-0.17192857142857138,-0.25307500000000005,False,False
13,"Aberg, Ludvig",23950,1.8,bet365,0.5363,0.0486,"Young, Cameron",1.8,bet365,-0.01925555555555558,0.013940000000000008,True,True
13,"Young, Cameron",26651,2.05,bet365,0.4637,0.0486,"Aberg, Ludvig",2.05,bet365,-0.02410487804878053,-0.0008150000000001212,False,False
63,"Burns, Sam",19483,1.9,betmgm,0.465,0.0488,"Young, Cameron",1.9,betmgm,-0.06131578947368416,-0.06769999999999993,False,False
63,"Young, Cameron",26651,1.9,betmgm,0.535,0.0488,"Burns, Sam",1.9,betmgm,0.00868421052631585,0.06530000000000002,True,True
64,"Fitzpatrick, Matt",17646,2.0,betmgm,0.4755,0.049,"Aberg, Ludvig",2.0,betmgm,-0.024500000000000022,0.0,False,True
64,"Aberg, Ludvig",23950,1.8,betmgm,0.5245,0.049,"Fitzpatrick, Matt",1.8,betmgm,-0.031055555555555614,-0.006900000000000073,False,False
65,"Thomas, Justin",14139,1.85,betmgm,0.5347,0.0462,"Clark, Wyndham",1.85,betmgm,-0.005840540540540506,0.035394999999999954,True,True
65,"Clark, Wyndham",23604,1.95,betmgm,0.4653,0.0462,"Thomas, Justin",1.95,betmgm,-0.047520512820512895,-0.04646499999999998,False,False
66,"Cantlay, Patrick",15466,1.75,betmgm,0.5073,0.051,"Morikawa, Collin",1.75,betmgm,-0.06412857142857142,-0.06122500000000003,False,False
66,"Morikawa, Collin",22085,2.05,betmgm,0.4927,0.051,"Cantlay, Patrick",2.05,betmgm,0.004895121951219494,0.061035000000000006,True,True
67,"Kim, Si Woo",14609,1.73,betmgm,0.5515,0.0514,"Rai, Aaron",1.73,betmgm,-0.02653468208092491,0.005494999999999972,True,True
67,"Rai, Aaron",18554,2.1,betmgm,0.4485,0.0514,"Kim, Si Woo",2.1,betmgm,-0.027690476190476154,-0.006749999999999923,False,False
