player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"Gerard, Ryan",29767,0.5143999999999999,0.4839966732057801,0.7092198581560284,0.7164,0.0169,59.1715976331361,0.0134999999999999,74.07407407407409,0.09015,11.092623405435386,0.0754154464285714,13.259883052567144,0.17515,5.709391949757351,0.1536065764790765,6.510137931081453,0.33535,2.981959147159684,0.3074900479728605,3.252137773539459,0.3337006516522693,2.9966977740338483,0.3059777229316568,3.268211784893112,0.72,0.49,0.005,-0.046,1.17,0.044,1.297,-0.0495699218216232,-0.0502557187049099,-0.0647549231207927,2.79255301603932,26.0,unibet,0.038461538461538464,0.036953907967032934,True,True
"Kitayama, Kurt",21891,0.4702,0.4666828682671983,0.6993006993006994,0.7114,0.0183,54.6448087431694,0.0140583333333333,71.13218731476009,0.0909,11.001100110011002,0.0747697288359788,13.37439650468285,0.17655,5.664117813650524,0.152966279761905,6.537388511745983,0.3287,3.04228780042592,0.2989749927849929,3.3447613483818937,0.3289557160894661,3.039922856145263,0.2992075839501987,3.342161274115445,0.697,0.387,0.019,-0.118,0.985,-0.017,9.8,0.0408573263787921,-0.0415737135839723,-0.0272626998548218,2.84982645042504,21.0,bet365,0.047619047619047616,0.027150681216931177,True,True
"Stevens, Sam",25569,0.3497499999999999,0.3532786221942768,0.7042253521126761,0.6715,0.011,90.90909090909092,0.0101416666666666,98.60312243221053,0.05875,17.02127659574468,0.0578033964646464,17.300021472122612,0.1256,7.961783439490446,0.125740018037518,7.9529175803173695,0.2666,3.750937734433609,0.2701620289779665,3.701482416988942,0.2658215584415585,3.7619221174638175,0.2693731867016374,3.712321973261644,0.346,0.579,0.11,0.037,1.072,0.029,5.758,-0.0047462781527009,-0.0502557187049099,0.0600811781527675,2.7638035166598,31.0,bet365,0.03225806451612903,0.025545331948517366,True,True
"Kim, Si Woo",14609,0.62845,0.6589555505557956,0.8,0.77505,0.03015,33.16749585406302,0.026625,37.55868544600939,0.13425,7.448789571694599,0.1276061345598845,7.836613838739142,0.2428,4.118616144975289,0.2376816245559995,4.207308839579194,0.4306,2.3223409196470044,0.42681457995708,2.342937769606088,0.4316285876623377,2.316806691178431,0.4278341252683891,2.3373544580453456,0.823,0.674,0.203,-0.13,1.57,0.107,-2.498,-0.1216528462459327,0.230389272968657,0.101388644298418,2.74694922222459,9.5,bet365,0.10526315789473684,0.022342976665147674,True,True
"Spaun, J.J.",17536,0.5223,0.5226039457365746,0.7462686567164178,0.7328,0.0206,48.543689320388346,0.017525,57.06134094151213,0.0982,10.183299389002038,0.0900346858465608,11.10683055755004,0.1918,5.213764337851929,0.179642916967292,5.566598543832776,0.36105,2.769699487605595,0.3487626124107374,2.867279818463743,0.3627906113331113,2.756410912414181,0.3504439866130021,2.8535230684506145,0.754,0.422,0.073,-0.052,1.197,0.036,2.233,-0.0287570199856768,0.0027925359890125,0.0281823466767905,2.78325485341249,14.0,unibet,0.07142857142857142,0.018606114417989372,True,True
"McNealy, Maverick",18634,0.36315,0.3929482274327135,0.7518796992481203,0.6773,0.0139,71.94244604316548,0.0165583333333333,60.392551585304425,0.07235,13.8217000691085,0.0849737962962963,11.768333810967867,0.14845,6.736274840013473,0.169336653138528,5.90539603485571,0.2935,3.4071550255536627,0.3268727944046695,3.05929406520751,0.2930267316017316,3.412657932379882,0.3263457124154176,3.0642351406996964,0.405,0.336,0.183,0.381,1.304,0.003,5.919,0.0704693771042525,-0.0212392723800668,0.094451214344365,2.84406084691482,15.0,betway,0.06666666666666667,0.01830712962962963,True,True
"Hojgaard, Nicolai",23602,0.44615,0.4788020684781777,0.7352941176470588,0.7065,0.02005,49.87531172069826,0.0179083333333333,55.83992554676589,0.0941,10.626992561105206,0.0888640773809524,11.253141083242095,0.18175,5.502063273727648,0.1746124672318419,5.726967929914468,0.3394,2.946375957572186,0.3336914653633405,2.9967802709941904,0.3372587229437229,2.965082685694881,0.3315862034933994,3.015807019304728,0.593,0.384,0.0,0.24,1.217,-0.04,15.293,0.1138863506609404,0.0020384823849463,0.0478451299412381,2.8738107373505,14.0,draftkings,0.07142857142857142,0.01743550595238097,True,True
"Keefer, Johnny",32457,0.22685,0.2212535417910511,0.5747126436781609,0.61505,0.0075,133.33333333333334,0.0051916666666666,192.6163723916539,0.04415,22.650056625141563,0.0329699834656084,30.330618789758176,0.098,10.20408163265306,0.0769413579244829,12.996911244814385,0.21545,4.641448131817127,0.1798764796777295,5.559370529107647,0.2163294101731602,4.622579977449914,0.180610688107253,5.536770888144585,0.246,0.549,-0.231,-0.226,0.338,-0.009,11.334,-0.0037528461926285,-0.0502557187049099,0.0134623441765664,2.87806115731978,56.0,unibet,0.017857142857142856,0.015112840608465544,True,True
"Penge, Marco",22465,0.2845,0.3054768664833084,0.6578947368421053,0.64495,0.01285,77.82101167315174,0.00985,101.5228426395939,0.0626,15.974440894568689,0.0547042893217893,18.280102207665266,0.12485,8.009611533840609,0.115129515993266,8.685869921128571,0.25435,3.931590328287792,0.2418040743746995,4.135579611658653,0.2546708459595959,3.9266371312822055,0.2421090944662149,4.130369419640058,0.187,0.807,-0.156,-0.045,0.793,-0.044,20.677,0.0864907700483194,-0.0502557187049099,0.0560853513969047,2.92176333588619,23.0,draftkings,0.043478260869565216,0.011226028452224084,True,True
"Jarvis, Casey",26947,0.23015,0.2445214843612584,0.6172839506172839,0.6343,0.00825,121.2121212121212,0.005875,170.2127659574468,0.0487,20.53388090349076,0.0385371759259259,25.94896942947104,0.1044,9.57854406130268,0.0864812442881193,11.563200879353891,0.22735,4.398504508467121,0.2009699102980355,4.975869265787173,0.2269009456638133,4.407209485506708,0.2005729610582625,4.985716891867192,0.303,0.252,-0.143,0.148,0.559,0.034,-3.613,-0.0443400833396954,-0.0502557187049099,0.15388929417467,2.815213864577,36.0,unibet,0.027777777777777776,0.010759398148148122,True,True
